timeStamp,elapsed,label,responseCode,success,bytes,grpThreads,allThreads,Latency,Hostname
2013-12-26;18:12:18,2091,Deconnexion,200,true,4255,3,8,1249,CI
2013-12-26;18:12:14,6067,/app/user/login,200,true,2374,3,8,4986,CI
2013-12-26;18:12:15,5893,/app/user/login,200,true,2332,5,8,4834,CI
2013-12-26;18:12:20,859,/,200,true,1992,3,8,859,CI
2013-12-26;18:12:20,860,Accueil,200,true,1992,3,8,859,CI
2013-12-26;18:12:15,5938,/app/user/login,200,true,2374,3,9,4809,CI
2013-12-26;18:12:20,1190,/,200,true,1987,3,9,1190,CI
2013-12-26;18:12:14,7260,Connexion,200,true,4361,3,9,6176,CI
2013-12-26;18:12:21,1155,/,200,true,1945,6,9,1155,CI
2013-12-26;18:12:15,7051,Connexion,200,true,4277,6,9,5989,CI
2013-12-26;18:12:21,1275,/,200,true,1987,3,10,1275,CI
2013-12-26;18:12:15,7215,Connexion,200,true,4361,3,10,6084,CI
2013-12-26;18:12:16,7022,/app/user/login,200,true,2374,7,10,5657,CI
2013-12-26;18:12:22,1623,/account,200,true,2602,3,10,1623,CI
2013-12-26;18:12:22,1624,Vue_connectee,200,true,2602,3,10,1623,CI
2013-12-26;18:12:22,1523,/account,200,true,2554,7,10,1523,CI
2013-12-26;18:12:22,1524,Vue_connectee,200,true,2554,7,10,1523,CI
2013-12-26;18:12:23,1047,/,200,true,1987,7,10,1047,CI
2013-12-26;18:12:16,8072,Connexion,200,true,4361,7,10,6704,CI
2013-12-26;18:12:23,1568,/account,200,true,2599,3,10,1568,CI
2013-12-26;18:12:23,1569,Vue_connectee,200,true,2599,3,10,1568,CI
2013-12-26;18:12:23,1319,/app/user/logout,200,true,2321,3,10,389,CI
2013-12-26;18:12:23,1359,/app/user/logout,200,true,2321,7,10,470,CI
2013-12-26;18:12:25,659,/,200,true,1934,3,10,659,CI
2013-12-26;18:12:23,1980,Deconnexion,200,true,4255,3,10,1048,CI
2013-12-26;18:12:24,1207,/app/user/logout,200,true,2321,3,10,514,CI
2013-12-26;18:12:25,931,/,200,true,1934,7,10,931,CI
2013-12-26;18:12:23,2292,Deconnexion,200,true,4255,7,10,1401,CI
2013-12-26;18:12:24,1504,/account,200,true,2605,7,10,1504,CI
2013-12-26;18:12:24,1505,Vue_connectee,200,true,2605,7,10,1504,CI
2013-12-26;18:12:25,703,/,200,true,1992,3,10,703,CI
2013-12-26;18:12:25,704,Accueil,200,true,1992,3,10,703,CI
2013-12-26;18:12:19,6749,/app/user/login,200,true,2374,7,10,5482,CI
2013-12-26;18:12:25,787,/,200,true,1934,3,10,787,CI
2013-12-26;18:12:24,1996,Deconnexion,200,true,4255,3,10,1301,CI
2013-12-26;18:12:26,842,/,200,true,1992,7,10,842,CI
2013-12-26;18:12:26,844,Accueil,200,true,1992,7,10,842,CI
2013-12-26;18:12:26,552,/,200,true,1992,3,10,552,CI
2013-12-26;18:12:26,553,Accueil,200,true,1992,3,10,552,CI
2013-12-26;18:12:21,5879,/app/user/login,200,true,2332,3,10,4851,CI
2013-12-26;18:12:18,9135,/app/user/login,200,true,2332,7,10,7954,CI
2013-12-26;18:12:26,1306,/app/user/logout,200,true,2321,7,10,366,CI
2013-12-26;18:12:26,1155,/,200,true,1987,7,10,1155,CI
2013-12-26;18:12:19,7905,Connexion,200,true,4361,7,10,6637,CI
2013-12-26;18:12:27,855,/,200,true,1934,7,10,855,CI
2013-12-26;18:12:26,2163,Deconnexion,200,true,4255,7,10,1221,CI
2013-12-26;18:12:27,1052,/,200,true,1945,3,10,1052,CI
2013-12-26;18:12:21,6932,Connexion,200,true,4277,3,10,5903,CI
2013-12-26;18:12:27,1115,/,200,true,1945,7,10,1115,CI
2013-12-26;18:12:18,10251,Connexion,200,true,4277,7,10,9069,CI
2013-12-26;18:12:27,1403,/account,200,true,2603,7,10,1403,CI
2013-12-26;18:12:27,1404,Vue_connectee,200,true,2603,7,10,1403,CI
2013-12-26;18:12:28,863,/,200,true,1992,7,10,863,CI
2013-12-26;18:12:28,864,Accueil,200,true,1992,7,10,863,CI
2013-12-26;18:12:28,1383,/account,200,true,2559,3,10,1383,CI
